Tam vector,Comparaciones,Asignaciones,Media,Tiempo(ns),Algoritmo
10000,25061862,75155590,50108726,25031115,Algoritmo 1
10000,235389,372711,304050,494415,Algoritmo 2
10000,9999,30011,20005,174780,Algoritmo 3
20000,99912420,299677264,199794842,100603475,Algoritmo 1
20000,510781,805259,658020,1255425,Algoritmo 2
20000,19999,60011,40005,97090,Algoritmo 3
30000,225057816,675083451,450070633,220431410,Algoritmo 1
30000,800687,1259628,1030157,1603310,Algoritmo 2
30000,29999,90011,60005,50005,Algoritmo 3
40000,399311931,1197815797,798563864,401544200,Algoritmo 1
40000,1101494,1730461,1415977,2453980,Algoritmo 2
40000,39999,120010,80004,100110,Algoritmo 3
50000,624598741,1873646228,1249122484,608302090,Algoritmo 1
50000,1409852,2212552,1811202,3084455,Algoritmo 2
50000,49999,150012,100005,372905,Algoritmo 3
60000,900053339,2699980020,1800016679,868647725,Algoritmo 1
60000,1721413,2699347,2210380,3854380,Algoritmo 2
60000,59999,180011,120005,150235,Algoritmo 3
70000,1225339490,3675808474,2450573982,1187821450,Algoritmo 1
70000,2038420,3194486,2616453,4407015,Algoritmo 2
70000,69999,210011,140005,50145,Algoritmo 3
80000,1598983654,4796710967,3197847310,1554245805,Algoritmo 1
80000,2363007,3700762,3031884,5484765,Algoritmo 2
80000,79999,240013,160006,300275,Algoritmo 3
90000,2023110235,6069060708,4046085471,1962061685,Algoritmo 1
90000,2690258,4211294,3450776,6133445,Algoritmo 2
90000,89999,270011,180005,275360,Algoritmo 3
100000,2500604611,7501513838,5001059224,2419364825,Algoritmo 1
100000,3019697,4725007,3872352,6936840,Algoritmo 2
100000,99999,300011,200005,525815,Algoritmo 3
120000,3598880467,10796281405,7197580936,3551301365,Algoritmo 1
120000,3682620,5758465,4720542,8131590,Algoritmo 2
120000,119999,360012,240005,696910,Algoritmo 3
140000,4898085693,14693837082,9795961387,4705513290,Algoritmo 1
140000,4356929,6808857,5582893,9867795,Algoritmo 2
140000,139999,420011,280005,550945,Algoritmo 3
160000,6401533192,19204119580,12802826386,6151146470,Algoritmo 1
160000,5045939,7881461,6463700,11489110,Algoritmo 2
160000,159999,480012,320005,475200,Algoritmo 3
